DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2009,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2010,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2011,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2012,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2013,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2014,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2015,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2016,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2017,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2018,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2019,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2020,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE24,2000,175,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE24,2001,175,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE24,2006,175,
